"";"diagnostics_Versions_PyRadiomics";"diagnostics_Versions_Numpy";"diagnostics_Versions_SimpleITK";"diagnostics_Versions_PyWavelet";"diagnostics_Versions_Python";"diagnostics_Configuration_Settings";"diagnostics_Configuration_EnabledImageTypes";"diagnostics_Image-original_Hash";"diagnostics_Image-original_Dimensionality";"diagnostics_Image-original_Spacing";"diagnostics_Image-original_Size";"diagnostics_Image-original_Mean";"diagnostics_Image-original_Minimum";"diagnostics_Image-original_Maximum";"diagnostics_Mask-original_Hash";"diagnostics_Mask-original_Spacing";"diagnostics_Mask-original_Size";"diagnostics_Mask-original_BoundingBox";"diagnostics_Mask-original_VoxelNum";"diagnostics_Mask-original_VolumeNum";"diagnostics_Mask-original_CenterOfMassIndex";"diagnostics_Mask-original_CenterOfMass";"original_firstorder_10Percentile";"original_firstorder_90Percentile";"original_firstorder_Energy";"original_firstorder_Entropy";"original_firstorder_InterquartileRange";"original_firstorder_Kurtosis";"original_firstorder_Maximum";"original_firstorder_MeanAbsoluteDeviation";"original_firstorder_Mean";"original_firstorder_Median";"original_firstorder_Minimum";"original_firstorder_Range";"original_firstorder_RobustMeanAbsoluteDeviation";"original_firstorder_RootMeanSquared";"original_firstorder_Skewness";"original_firstorder_TotalEnergy";"original_firstorder_Uniformity";"original_firstorder_Variance";"original_glcm_Autocorrelation";"original_glcm_ClusterProminence";"original_glcm_ClusterShade";"original_glcm_ClusterTendency";"original_glcm_Contrast";"original_glcm_Correlation";"original_glcm_DifferenceAverage";"original_glcm_DifferenceEntropy";"original_glcm_DifferenceVariance";"original_glcm_Id";"original_glcm_Idm";"original_glcm_Idmn";"original_glcm_Idn";"original_glcm_Imc1";"original_glcm_Imc2";"original_glcm_InverseVariance";"original_glcm_JointAverage";"original_glcm_JointEnergy";"original_glcm_JointEntropy";"original_glcm_MCC";"original_glcm_MaximumProbability";"original_glcm_SumAverage";"original_glcm_SumEntropy";"original_glcm_SumSquares";"original_gldm_DependenceEntropy";"original_gldm_DependenceNonUniformity";"original_gldm_DependenceNonUniformityNormalized";"original_gldm_DependenceVariance";"original_gldm_GrayLevelNonUniformity";"original_gldm_GrayLevelVariance";"original_gldm_HighGrayLevelEmphasis";"original_gldm_LargeDependenceEmphasis";"original_gldm_LargeDependenceHighGrayLevelEmphasis";"original_gldm_LargeDependenceLowGrayLevelEmphasis";"original_gldm_LowGrayLevelEmphasis";"original_gldm_SmallDependenceEmphasis";"original_gldm_SmallDependenceHighGrayLevelEmphasis";"original_gldm_SmallDependenceLowGrayLevelEmphasis";"original_glrlm_GrayLevelNonUniformity";"original_glrlm_GrayLevelNonUniformityNormalized";"original_glrlm_GrayLevelVariance";"original_glrlm_HighGrayLevelRunEmphasis";"original_glrlm_LongRunEmphasis";"original_glrlm_LongRunHighGrayLevelEmphasis";"original_glrlm_LongRunLowGrayLevelEmphasis";"original_glrlm_LowGrayLevelRunEmphasis";"original_glrlm_RunEntropy";"original_glrlm_RunLengthNonUniformity";"original_glrlm_RunLengthNonUniformityNormalized";"original_glrlm_RunPercentage";"original_glrlm_RunVariance";"original_glrlm_ShortRunEmphasis";"original_glrlm_ShortRunHighGrayLevelEmphasis";"original_glrlm_ShortRunLowGrayLevelEmphasis";"original_glszm_GrayLevelNonUniformity";"original_glszm_GrayLevelNonUniformityNormalized";"original_glszm_GrayLevelVariance";"original_glszm_HighGrayLevelZoneEmphasis";"original_glszm_LargeAreaEmphasis";"original_glszm_LargeAreaHighGrayLevelEmphasis";"original_glszm_LargeAreaLowGrayLevelEmphasis";"original_glszm_LowGrayLevelZoneEmphasis";"original_glszm_SizeZoneNonUniformity";"original_glszm_SizeZoneNonUniformityNormalized";"original_glszm_SmallAreaEmphasis";"original_glszm_SmallAreaHighGrayLevelEmphasis";"original_glszm_SmallAreaLowGrayLevelEmphasis";"original_glszm_ZoneEntropy";"original_glszm_ZonePercentage";"original_glszm_ZoneVariance";"original_ngtdm_Busyness";"original_ngtdm_Coarseness";"original_ngtdm_Complexity";"original_ngtdm_Contrast";"original_ngtdm_Strength"
0;"v3.0.1";"1.25.2";"2.3.1";"1.6.0";"3.10.12";"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}";"{'Original': {}}";"5fde1cce603e6566d20da811c9c8bcccb044d4ae";"2D";"(1.0, 1.0)";"(1024, 1024)";0.0;0.0;0.0;"578f07ea7fa7b013e614311e15874215fbe7be79";"(1.0, 1.0)";"(1024, 1024)";"(371, 1, 467, 986)";341283;1;"(642.8401766276081, 502.4554021149603)";"(642.8401766276081, 502.4554021149603)";0.0;0.0;0.0;-3.203426503814917e-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;-3.203426503814917e-16;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;-3.203426503814917e-16;1;1.0;2.0;-3.203426503814917e-16;0.0;0.14232366410966185;331381.7134841173;0.9709880465306425;0.12636452042004914;341283.0;0.0;1.0;80.43071878763372;80.43071878763372;80.43071878763372;1.0;0.012618257500472886;0.012618257500472886;0.012618257500472886;1652.25;1.0;0.0;1.0;106394.20988861921;106394.20988861921;106394.20988861921;1.0;6.8809046148944395;52.433864092247184;0.0338240585435558;0.004841290073047881;57007.168391835345;0.17205838555648975;0.17205838555648975;0.17205838555648975;1.0;1.0;0.0;1.0;116474086089.0;116474086089.0;116474086089.0;1.0;1.0;1.0;8.585600742433656e-12;8.585600742433656e-12;8.585600742433656e-12;-3.203426503814917e-16;2.9301195781799854e-06;0.0;0.0;1000000.0;0.0;0.0;0.0
1;"v3.0.1";"1.25.2";"2.3.1";"1.6.0";"3.10.12";"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}";"{'Original': {}}";"5fde1cce603e6566d20da811c9c8bcccb044d4ae";"2D";"(1.0, 1.0)";"(1024, 1024)";0.0;0.0;0.0;"ef54cd94145a5d60248ab4477cfb67de7ad9cfd2";"(1.0, 1.0)";"(1024, 1024)";"(187, 0, 526, 981)";433652;1;"(414.87106020495696, 489.2018646287807)";"(414.87106020495696, 489.2018646287807)";0.0;0.0;0.0;-3.203426503814917e-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;-3.203426503814917e-16;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;-3.203426503814917e-16;1;1.0;2.0;-3.203426503814917e-16;0.0;0.1008936437344802;425152.24468467804;0.9803995938786816;0.08541070355699525;433652.0;0.0;1.0;80.61150415540571;80.61150415540571;80.61150415540571;1.0;0.012521967065712479;0.012521967065712479;0.012521967065712479;1429.25;1.0;0.0;1.0;185209.40090449664;185209.40090449664;185209.40090449664;1.0;7.092570929823661;36.8714962998258;0.027949117380721922;0.0032958455166815785;78043.10317559043;0.1535482741562999;0.1535482741562999;0.1535482741562999;1.0;1.0;0.0;1.0;188054057104.0;188054057104.0;188054057104.0;1.0;1.0;1.0;5.3176199195052065e-12;5.3176199195052065e-12;5.3176199195052065e-12;-3.203426503814917e-16;2.305996513333272e-06;0.0;0.0;1000000.0;0.0;0.0;0.0
2;"v3.0.1";"1.25.2";"2.3.1";"1.6.0";"3.10.12";"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}";"{'Original': {}}";"5fde1cce603e6566d20da811c9c8bcccb044d4ae";"2D";"(1.0, 1.0)";"(1024, 1024)";0.0;0.0;0.0;"24e1db9036c4fe86559d6971ef773c696fbe831c";"(1.0, 1.0)";"(1024, 1024)";"(256, 0, 393, 838)";250796;1;"(418.7408092633056, 403.64483883315523)";"(418.7408092633056, 403.64483883315523)";0.0;0.0;0.0;-3.203426503814917e-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;-3.203426503814917e-16;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;-3.203426503814917e-16;1;1.0;2.0;-3.203426503814917e-16;0.0;0.12092338889851985;244668.09337469496;0.9755661708109179;0.10686983690358072;250796.0;0.0;1.0;80.50925852086955;80.50925852086955;80.50925852086955;1.0;0.01257031389832551;0.01257031389832551;0.01257031389832551;1042.75;1.0;0.0;1.0;118329.92981806766;118329.92981806766;118329.92981806766;1.0;7.108716065475037;20.69051210151004;0.023228917511546317;0.004157761686789263;45249.98526821644;0.1323108838777403;0.1323108838777403;0.1323108838777403;1.0;1.0;0.0;1.0;62898633616.0;62898633616.0;62898633616.0;1.0;1.0;1.0;1.589859655942705e-11;1.589859655942705e-11;1.589859655942705e-11;-3.203426503814917e-16;3.9873044227180655e-06;0.0;0.0;1000000.0;0.0;0.0;0.0
3;"v3.0.1";"1.25.2";"2.3.1";"1.6.0";"3.10.12";"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}";"{'Original': {}}";"5fde1cce603e6566d20da811c9c8bcccb044d4ae";"2D";"(1.0, 1.0)";"(1024, 1024)";0.0;0.0;0.0;"eecfa75f34a2404d297a91b22af88c7b96fae3d0";"(1.0, 1.0)";"(1024, 1024)";"(281, 0, 557, 950)";442068;1;"(597.7817032673706, 489.7561302785997)";"(597.7817032673706, 489.7561302785997)";0.0;0.0;0.0;-3.203426503814917e-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;-3.203426503814917e-16;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;-3.203426503814917e-16;1;1.0;2.0;-3.203426503814917e-16;0.0;0.10493070824581222;433059.16291611246;0.979621150854874;0.09110684351336315;442068.0;0.0;1.0;80.59519349964259;80.59519349964259;80.59519349964259;1.0;0.012540763779903366;0.012540763779903366;0.012540763779903366;1524.75;1.0;0.0;1.0;172117.93725977943;172117.93725977943;172117.93725977943;1.0;6.806173373512556;50.26077309010212;0.03520431604437322;0.00344912999809984;77690.41528268007;0.17462337955653387;0.17462337955653387;0.17462337955653387;1.0;1.0;0.0;1.0;195424116624.0;195424116624.0;195424116624.0;1.0;1.0;1.0;5.117075708337577e-12;5.117075708337577e-12;5.117075708337577e-12;-3.203426503814917e-16;2.262095424233376e-06;0.0;0.0;1000000.0;0.0;0.0;0.0
4;"v3.0.1";"1.25.2";"2.3.1";"1.6.0";"3.10.12";"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}";"{'Original': {}}";"5fde1cce603e6566d20da811c9c8bcccb044d4ae";"2D";"(1.0, 1.0)";"(1024, 1024)";0.0;0.0;0.0;"47cd3433e5f6b7cbf76e261f814d54de717d4ebd";"(1.0, 1.0)";"(1024, 1024)";"(187, 0, 505, 973)";393506;1;"(397.99632025941156, 489.3129964981474)";"(397.99632025941156, 489.3129964981474)";0.0;0.0;0.0;-3.203426503814917e-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;-3.203426503814917e-16;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;-3.203426503814917e-16;1;1.0;2.0;-3.203426503814917e-16;0.0;0.09977926837309962;385884.2003069839;0.9806310457959571;0.08514759545272016;393506.0;0.0;1.0;80.61267680797752;80.61267680797752;80.61267680797752;1.0;0.012522230468695043;0.012522230468695043;0.012522230468695043;1293.0;1.0;0.0;1.0;179034.15967833583;179034.15967833583;179034.15967833583;1.0;7.237560588083474;28.213649799212202;0.024505869931369828;0.0032858457050210163;69842.20967277586;0.14064096928965011;0.14064096928965011;0.14064096928965011;1.0;1.0;0.0;1.0;154846972036.0;154846972036.0;154846972036.0;1.0;1.0;1.0;6.4579887281716586e-12;6.4579887281716586e-12;6.4579887281716586e-12;-3.203426503814917e-16;2.5412573124679165e-06;0.0;0.0;1000000.0;0.0;0.0;0.0
5;"v3.0.1";"1.25.2";"2.3.1";"1.6.0";"3.10.12";"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}";"{'Original': {}}";"5fde1cce603e6566d20da811c9c8bcccb044d4ae";"2D";"(1.0, 1.0)";"(1024, 1024)";0.0;0.0;0.0;"cdb96845d5f10224245429b0d3235055287d045a";"(1.0, 1.0)";"(1024, 1024)";"(187, 0, 487, 940)";337435;1;"(385.3518514676901, 511.57727562345343)";"(385.3518514676901, 511.57727562345343)";0.0;0.0;0.0;-3.203426503814917e-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;-3.203426503814917e-16;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;-3.203426503814917e-16;1;1.0;2.0;-3.203426503814917e-16;0.0;0.11823533821068363;329505.236958229;0.9764998798530946;0.09839775803262028;337435.0;0.0;1.0;80.54404255634418;80.54404255634418;80.54404255634418;1.0;0.012551047145020358;0.012551047145020358;0.012551047145020358;1301.25;1.0;0.0;1.0;140900.27032090997;140900.27032090997;140900.27032090997;1.0;7.390770852728467;26.7448996722329;0.0218828418828248;0.0038562982500333397;59550.02153241703;0.13400218434009326;0.13400218434009326;0.13400218434009326;1.0;1.0;0.0;1.0;113862379225.0;113862379225.0;113862379225.0;1.0;1.0;1.0;8.782532095380953e-12;8.782532095380953e-12;8.782532095380953e-12;-3.203426503814917e-16;2.963533717604872e-06;0.0;0.0;1000000.0;0.0;0.0;0.0
6;"v3.0.1";"1.25.2";"2.3.1";"1.6.0";"3.10.12";"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}";"{'Original': {}}";"5fde1cce603e6566d20da811c9c8bcccb044d4ae";"2D";"(1.0, 1.0)";"(1024, 1024)";0.0;0.0;0.0;"f017ebc838581aa89de2e6517f982050d49d540f";"(1.0, 1.0)";"(1024, 1024)";"(312, 0, 401, 756)";159009;1;"(586.4571628021056, 316.2896754271771)";"(586.4571628021056, 316.2896754271771)";0.0;0.0;0.0;-3.203426503814917e-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;-3.203426503814917e-16;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;-3.203426503814917e-16;1;1.0;2.0;-3.203426503814917e-16;0.0;0.16079809966085878;153624.23057185442;0.9661354424708942;0.17733255392851233;159009.0;0.0;1.0;80.26975202661484;80.26975202661484;80.26975202661484;1.0;0.012726644533112173;0.012726644533112173;0.012726644533112173;1005.0;1.0;0.0;1.0;60703.70895355181;60703.70895355181;60703.70895355181;1.0;6.331504543343923;59.72520085631246;0.06774096946819287;0.006320396958662717;29431.583274042223;0.22383512770616287;0.22383512770616287;0.22383512770616287;1.0;1.0;0.0;1.0;25283862081.0;25283862081.0;25283862081.0;1.0;1.0;1.0;3.955091974463298e-11;3.955091974463298e-11;3.955091974463298e-11;-3.203426503814917e-16;6.288952197674345e-06;0.0;0.0;1000000.0;0.0;0.0;0.0
7;"v3.0.1";"1.25.2";"2.3.1";"1.6.0";"3.10.12";"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}";"{'Original': {}}";"5fde1cce603e6566d20da811c9c8bcccb044d4ae";"2D";"(1.0, 1.0)";"(1024, 1024)";0.0;0.0;0.0;"3a1f2b2001774d5b86bb2da6fcd508f20a12b9e5";"(1.0, 1.0)";"(1024, 1024)";"(187, 0, 531, 898)";386888;1;"(416.08822449907984, 466.3655295589421)";"(416.08822449907984, 466.3655295589421)";0.0;0.0;0.0;-3.203426503814917e-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;-3.203426503814917e-16;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;-3.203426503814917e-16;1;1.0;2.0;-3.203426503814917e-16;0.0;0.10947509384589071;378618.628631542;0.978625929549487;0.09319226570335323;386888.0;0.0;1.0;80.5803695126238;80.5803695126238;80.5803695126238;1.0;0.012543322539869391;0.012543322539869391;0.012543322539869391;1380.0;1.0;0.0;1.0;157909.11999225608;157909.11999225608;157909.11999225608;1.0;7.172070130502091;37.60946998203988;0.0293679640457001;0.003566923760881702;67526.52075005008;0.16139526222994668;0.16139526222994668;0.16139526222994668;1.0;1.0;0.0;1.0;149682324544.0;149682324544.0;149682324544.0;1.0;1.0;1.0;6.680815540822551e-12;6.680815540822551e-12;6.680815540822551e-12;-3.203426503814917e-16;2.5847273629577553e-06;0.0;0.0;1000000.0;0.0;0.0;0.0
8;"v3.0.1";"1.25.2";"2.3.1";"1.6.0";"3.10.12";"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}";"{'Original': {}}";"5fde1cce603e6566d20da811c9c8bcccb044d4ae";"2D";"(1.0, 1.0)";"(1024, 1024)";0.0;0.0;0.0;"c565cc2fe682fdd13e99e6f2f43d11b3cba514f3";"(1.0, 1.0)";"(1024, 1024)";"(256, 0, 373, 897)";266445;1;"(409.7342415883203, 457.3057216311059)";"(409.7342415883203, 457.3057216311059)";0.0;0.0;0.0;-3.203426503814917e-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;-3.203426503814917e-16;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;-3.203426503814917e-16;1;1.0;2.0;-3.203426503814917e-16;0.0;0.12624456205121323;259683.02757792416;0.9746215075453627;0.11293056068727197;266445.0;0.0;1.0;80.49206778134324;80.49206778134324;80.49206778134324;1.0;0.012584237732129194;0.012584237732129194;0.012584237732129194;1151.0;1.0;0.0;1.0;116922.25585087469;116922.25585087469;116922.25585087469;1.0;6.733170699088355;29.970076804877905;0.02950782536409055;0.004319840867721293;51815.43985587875;0.1490545182634198;0.1490545182634198;0.1490545182634198;1.0;1.0;0.0;1.0;70992938025.0;70992938025.0;70992938025.0;1.0;1.0;1.0;1.4085908089165887e-11;1.4085908089165887e-11;1.4085908089165887e-11;-3.203426503814917e-16;3.7531197808178047e-06;0.0;0.0;1000000.0;0.0;0.0;0.0
9;"v3.0.1";"1.25.2";"2.3.1";"1.6.0";"3.10.12";"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}";"{'Original': {}}";"5fde1cce603e6566d20da811c9c8bcccb044d4ae";"2D";"(1.0, 1.0)";"(1024, 1024)";0.0;0.0;0.0;"a1a66ad93aceec7c894e94ec484a80246c7926e5";"(1.0, 1.0)";"(1024, 1024)";"(256, 0, 457, 987)";239316;1;"(581.1195615838473, 481.0484087984088)";"(581.1195615838473, 481.0484087984088)";0.0;0.0;0.0;-3.203426503814917e-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;-3.203426503814917e-16;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;-3.203426503814917e-16;1;1.0;2.0;-3.203426503814917e-16;0.0;0.1622988981620583;231265.58466629896;0.9663607308591944;0.1683390558398617;239316.0;0.0;1.0;80.3047853047853;80.3047853047853;80.3047853047853;1.0;0.012721299019687422;0.012721299019687422;0.012721299019687422;1439.0;1.0;0.0;1.0;77367.59850489089;77367.59850489089;77367.59850489089;1.0;6.237401571076418;89.62786633888159;0.06717451659233656;0.006012970298684585;45129.97449391082;0.24252060845260406;0.24252060845260406;0.24252060845260406;1.0;1.0;0.0;1.0;57272147856.0;57272147856.0;57272147856.0;1.0;1.0;1.0;1.746049410464422e-11;1.746049410464422e-11;1.746049410464422e-11;-3.203426503814917e-16;4.178575607147036e-06;0.0;0.0;1000000.0;0.0;0.0;0.0
