"";"diagnostics_Versions_PyRadiomics";"diagnostics_Versions_Numpy";"diagnostics_Versions_SimpleITK";"diagnostics_Versions_PyWavelet";"diagnostics_Versions_Python";"diagnostics_Configuration_Settings";"diagnostics_Configuration_EnabledImageTypes";"diagnostics_Image-original_Hash";"diagnostics_Image-original_Dimensionality";"diagnostics_Image-original_Spacing";"diagnostics_Image-original_Size";"diagnostics_Image-original_Mean";"diagnostics_Image-original_Minimum";"diagnostics_Image-original_Maximum";"diagnostics_Mask-original_Hash";"diagnostics_Mask-original_Spacing";"diagnostics_Mask-original_Size";"diagnostics_Mask-original_BoundingBox";"diagnostics_Mask-original_VoxelNum";"diagnostics_Mask-original_VolumeNum";"diagnostics_Mask-original_CenterOfMassIndex";"diagnostics_Mask-original_CenterOfMass";"original_firstorder_10Percentile";"original_firstorder_90Percentile";"original_firstorder_Energy";"original_firstorder_Entropy";"original_firstorder_InterquartileRange";"original_firstorder_Kurtosis";"original_firstorder_Maximum";"original_firstorder_MeanAbsoluteDeviation";"original_firstorder_Mean";"original_firstorder_Median";"original_firstorder_Minimum";"original_firstorder_Range";"original_firstorder_RobustMeanAbsoluteDeviation";"original_firstorder_RootMeanSquared";"original_firstorder_Skewness";"original_firstorder_TotalEnergy";"original_firstorder_Uniformity";"original_firstorder_Variance";"original_glcm_Autocorrelation";"original_glcm_ClusterProminence";"original_glcm_ClusterShade";"original_glcm_ClusterTendency";"original_glcm_Contrast";"original_glcm_Correlation";"original_glcm_DifferenceAverage";"original_glcm_DifferenceEntropy";"original_glcm_DifferenceVariance";"original_glcm_Id";"original_glcm_Idm";"original_glcm_Idmn";"original_glcm_Idn";"original_glcm_Imc1";"original_glcm_Imc2";"original_glcm_InverseVariance";"original_glcm_JointAverage";"original_glcm_JointEnergy";"original_glcm_JointEntropy";"original_glcm_MCC";"original_glcm_MaximumProbability";"original_glcm_SumAverage";"original_glcm_SumEntropy";"original_glcm_SumSquares";"original_gldm_DependenceEntropy";"original_gldm_DependenceNonUniformity";"original_gldm_DependenceNonUniformityNormalized";"original_gldm_DependenceVariance";"original_gldm_GrayLevelNonUniformity";"original_gldm_GrayLevelVariance";"original_gldm_HighGrayLevelEmphasis";"original_gldm_LargeDependenceEmphasis";"original_gldm_LargeDependenceHighGrayLevelEmphasis";"original_gldm_LargeDependenceLowGrayLevelEmphasis";"original_gldm_LowGrayLevelEmphasis";"original_gldm_SmallDependenceEmphasis";"original_gldm_SmallDependenceHighGrayLevelEmphasis";"original_gldm_SmallDependenceLowGrayLevelEmphasis";"original_glrlm_GrayLevelNonUniformity";"original_glrlm_GrayLevelNonUniformityNormalized";"original_glrlm_GrayLevelVariance";"original_glrlm_HighGrayLevelRunEmphasis";"original_glrlm_LongRunEmphasis";"original_glrlm_LongRunHighGrayLevelEmphasis";"original_glrlm_LongRunLowGrayLevelEmphasis";"original_glrlm_LowGrayLevelRunEmphasis";"original_glrlm_RunEntropy";"original_glrlm_RunLengthNonUniformity";"original_glrlm_RunLengthNonUniformityNormalized";"original_glrlm_RunPercentage";"original_glrlm_RunVariance";"original_glrlm_ShortRunEmphasis";"original_glrlm_ShortRunHighGrayLevelEmphasis";"original_glrlm_ShortRunLowGrayLevelEmphasis";"original_glszm_GrayLevelNonUniformity";"original_glszm_GrayLevelNonUniformityNormalized";"original_glszm_GrayLevelVariance";"original_glszm_HighGrayLevelZoneEmphasis";"original_glszm_LargeAreaEmphasis";"original_glszm_LargeAreaHighGrayLevelEmphasis";"original_glszm_LargeAreaLowGrayLevelEmphasis";"original_glszm_LowGrayLevelZoneEmphasis";"original_glszm_SizeZoneNonUniformity";"original_glszm_SizeZoneNonUniformityNormalized";"original_glszm_SmallAreaEmphasis";"original_glszm_SmallAreaHighGrayLevelEmphasis";"original_glszm_SmallAreaLowGrayLevelEmphasis";"original_glszm_ZoneEntropy";"original_glszm_ZonePercentage";"original_glszm_ZoneVariance";"original_ngtdm_Busyness";"original_ngtdm_Coarseness";"original_ngtdm_Complexity";"original_ngtdm_Contrast";"original_ngtdm_Strength"
0;"v3.0.1";"1.25.2";"2.3.1";"1.6.0";"3.10.12";"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}";"{'Original': {}}";"5fde1cce603e6566d20da811c9c8bcccb044d4ae";"2D";"(1.0, 1.0)";"(1024, 1024)";0.0;0.0;0.0;"9e0e5dd26980d1ccae67ebc3a4572732381b2029";"(1.0, 1.0)";"(1024, 1024)";"(187, 0, 651, 976)";451915;1;"(586.469663542923, 495.61557815075844)";"(586.469663542923, 495.61557815075844)";0.0;0.0;0.0;-3.203426503814917e-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;-3.203426503814917e-16;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;-3.203426503814917e-16;1;1.0;2.0;-3.203426503814917e-16;0.0;0.1146446946513777;441816.84504165605;0.9776547471131873;0.11359553761249112;451915.0;0.0;1.0;80.53755905424693;80.53755905424693;80.53755905424693;1.0;0.012599822368348227;0.012599822368348227;0.012599822368348227;1811.0;1.0;0.0;1.0;146138.21861140226;146138.21861140226;146138.21861140226;1.0;6.558585785552801;108.21286326418146;0.061251312143424205;0.004007390770388237;76203.72130703578;0.24559568795091402;0.24559568795091402;0.24559568795091402;1.0;1.0;0.0;1.0;204227167225.0;204227167225.0;204227167225.0;1.0;1.0;1.0;4.896508204994518e-12;4.896508204994518e-12;4.896508204994518e-12;-3.203426503814917e-16;2.2128055054600975e-06;0.0;0.0;1000000.0;0.0;0.0;0.0
1;"v3.0.1";"1.25.2";"2.3.1";"1.6.0";"3.10.12";"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}";"{'Original': {}}";"5fde1cce603e6566d20da811c9c8bcccb044d4ae";"2D";"(1.0, 1.0)";"(1024, 1024)";0.0;0.0;0.0;"629c0f5ea3094898ec376caf3e810b0e567acc3c";"(1.0, 1.0)";"(1024, 1024)";"(256, 0, 513, 935)";302068;1;"(596.0871393196234, 476.3153429029225)";"(596.0871393196234, 476.3153429029225)";0.0;0.0;0.0;-3.203426503814917e-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;-3.203426503814917e-16;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;-3.203426503814917e-16;1;1.0;2.0;-3.203426503814917e-16;0.0;0.13534353662679555;293569.86218997044;0.9718668054543033;0.12207414287019429;302068.0;0.0;1.0;80.43088973343751;80.43088973343751;80.43088973343751;1.0;0.012595428050197538;0.012595428050197538;0.012595428050197538;1453.0;1.0;0.0;1.0;99649.43821392085;99649.43821392085;99649.43821392085;1.0;6.769945915877379;41.6501258098487;0.030805696641880688;0.004810175192340797;49878.65437714162;0.12028285993644444;0.12028285993644444;0.12028285993644444;1.0;1.0;0.0;1.0;91245076624.0;91245076624.0;91245076624.0;1.0;1.0;1.0;1.095949542703296e-11;1.095949542703296e-11;1.095949542703296e-11;-3.203426503814917e-16;3.310512864652992e-06;0.0;0.0;1000000.0;0.0;0.0;0.0
2;"v3.0.1";"1.25.2";"2.3.1";"1.6.0";"3.10.12";"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}";"{'Original': {}}";"5fde1cce603e6566d20da811c9c8bcccb044d4ae";"2D";"(1.0, 1.0)";"(1024, 1024)";0.0;0.0;0.0;"31de2ea04458b8875ffb6f46be11ec0c84f225e3";"(1.0, 1.0)";"(1024, 1024)";"(256, 0, 433, 713)";224049;1;"(434.0747202620855, 376.71486594450323)";"(434.0747202620855, 376.71486594450323)";0.0;0.0;0.0;-3.203426503814917e-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;-3.203426503814917e-16;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;-3.203426503814917e-16;1;1.0;2.0;-3.203426503814917e-16;0.0;0.13654532826633053;217787.95518391067;0.972055020035397;0.11070946595961868;224049.0;0.0;1.0;80.46702730206339;80.46702730206339;80.46702730206339;1.0;0.012570418954741053;0.012570418954741053;0.012570418954741053;1003.5;1.0;0.0;1.0;93466.29241842276;93466.29241842276;93466.29241842276;1.0;7.45835659551221;16.269578176541117;0.01705804878623459;0.004478930948140809;36368.72877840681;0.115798699307777;0.115798699307777;0.115798699307777;1.0;1.0;0.0;1.0;50197954401.0;50197954401.0;50197954401.0;1.0;1.0;1.0;1.9921130490928508e-11;1.9921130490928508e-11;1.9921130490928508e-11;-3.203426503814917e-16;4.4633093653620415e-06;0.0;0.0;1000000.0;0.0;0.0;0.0
3;"v3.0.1";"1.25.2";"2.3.1";"1.6.0";"3.10.12";"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}";"{'Original': {}}";"5fde1cce603e6566d20da811c9c8bcccb044d4ae";"2D";"(1.0, 1.0)";"(1024, 1024)";0.0;0.0;0.0;"03fead83d5e580ad87519112ae0de1c2cf88d286";"(1.0, 1.0)";"(1024, 1024)";"(269, 1, 569, 985)";450577;1;"(596.0964163727842, 507.91051030123595)";"(596.0964163727842, 507.91051030123595)";0.0;0.0;0.0;-3.203426503814917e-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;-3.203426503814917e-16;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;-3.203426503814917e-16;1;1.0;2.0;-3.203426503814917e-16;0.0;0.1009438365731429;441788.1816848175;0.980494303270734;0.08539486291979966;450577.0;0.0;1.0;80.61619878511331;80.61619878511331;80.61619878511331;1.0;0.012525782520500338;0.012525782520500338;0.012525782520500338;1470.25;1.0;0.0;1.0;189225.26071648105;189225.26071648105;189225.26071648105;1.0;7.168922146753106;39.80302409012894;0.028469322569044806;0.0032630382820250476;79485.24970163024;0.15981529231881075;0.15981529231881075;0.15981529231881075;1.0;1.0;0.0;1.0;203019632929.0;203019632929.0;203019632929.0;1.0;1.0;1.0;4.925631997126701e-12;4.925631997126701e-12;4.925631997126701e-12;-3.203426503814917e-16;2.2193764883693573e-06;0.0;0.0;1000000.0;0.0;0.0;0.0
4;"v3.0.1";"1.25.2";"2.3.1";"1.6.0";"3.10.12";"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}";"{'Original': {}}";"5fde1cce603e6566d20da811c9c8bcccb044d4ae";"2D";"(1.0, 1.0)";"(1024, 1024)";0.0;0.0;0.0;"6d6dc9109e2787f76b64c28b5f2d46ff0b4e135a";"(1.0, 1.0)";"(1024, 1024)";"(187, 0, 547, 1009)";416382;1;"(413.4920577738711, 537.6669260438732)";"(413.4920577738711, 537.6669260438732)";0.0;0.0;0.0;-3.203426503814917e-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;-3.203426503814917e-16;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;-3.203426503814917e-16;1;1.0;2.0;-3.203426503814917e-16;0.0;0.10897295312008341;407502.9572748102;0.978675728717404;0.09166222790518283;416382.0;0.0;1.0;80.58304633725761;80.58304633725761;80.58304633725761;1.0;0.01253789632614417;0.01253789632614417;0.01253789632614417;1473.0;1.0;0.0;1.0;164505.0213200267;164505.0213200267;164505.0213200267;1.0;7.253421757088671;36.722185494807206;0.026591039404545578;0.0035376168998659885;73147.38639261025;0.15010325788003454;0.15010325788003454;0.15010325788003454;1.0;1.0;0.0;1.0;173373969924.0;173373969924.0;173373969924.0;1.0;1.0;1.0;5.767878537005058e-12;5.767878537005058e-12;5.767878537005058e-12;-3.203426503814917e-16;2.4016408009952398e-06;0.0;0.0;1000000.0;0.0;0.0;0.0
5;"v3.0.1";"1.25.2";"2.3.1";"1.6.0";"3.10.12";"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}";"{'Original': {}}";"5fde1cce603e6566d20da811c9c8bcccb044d4ae";"2D";"(1.0, 1.0)";"(1024, 1024)";0.0;0.0;0.0;"1149618748bb6fac89b4bab5221aba3af2e0fbb4";"(1.0, 1.0)";"(1024, 1024)";"(312, 0, 328, 883)";200559;1;"(437.06751629196395, 481.7452370624106)";"(437.06751629196395, 481.7452370624106)";0.0;0.0;0.0;-3.203426503814917e-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;-3.203426503814917e-16;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;-3.203426503814917e-16;1;1.0;2.0;-3.203426503814917e-16;0.0;0.20830154722803526;191388.02098634318;0.9542729121422782;0.16945414987215945;200559.0;0.0;1.0;80.15864159673713;80.15864159673713;80.15864159673713;1.0;0.012695467162917841;0.012695467162917841;0.012695467162917841;1412.25;1.0;0.0;1.0;55846.7155347744;55846.7155347744;55846.7155347744;1.0;7.064961309632938;29.786854925659096;0.022638459900813063;0.007041568815161623;32399.5219563256;0.13383289184310637;0.13383289184310637;0.13383289184310637;1.0;1.0;0.0;1.0;40223912481.0;40223912481.0;40223912481.0;1.0;1.0;1.0;2.4860833726016977e-11;2.4860833726016977e-11;2.4860833726016977e-11;-3.203426503814917e-16;4.986063951256239e-06;0.0;0.0;1000000.0;0.0;0.0;0.0
6;"v3.0.1";"1.25.2";"2.3.1";"1.6.0";"3.10.12";"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}";"{'Original': {}}";"5fde1cce603e6566d20da811c9c8bcccb044d4ae";"2D";"(1.0, 1.0)";"(1024, 1024)";0.0;0.0;0.0;"3eeeba307dc324e20f11ac98701d788b4e9325fa";"(1.0, 1.0)";"(1024, 1024)";"(256, 0, 387, 827)";239754;1;"(413.5104982607172, 429.1725935750811)";"(413.5104982607172, 429.1725935750811)";0.0;0.0;0.0;-3.203426503814917e-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;-3.203426503814917e-16;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;-3.203426503814917e-16;1;1.0;2.0;-3.203426503814917e-16;0.0;0.14079750943425218;232806.022606505;0.9710203900936168;0.12047945728091831;239754.0;0.0;1.0;80.43169248479691;80.43169248479691;80.43169248479691;1.0;0.01259238332827303;0.01259238332827303;0.01259238332827303;1149.25;1.0;0.0;1.0;97068.11276418518;97068.11276418518;97068.11276418518;1.0;7.1814263953821635;21.726294956284626;0.0207600430079766;0.004793454957998615;43822.00900892807;0.12558126412485468;0.12558126412485468;0.12558126412485468;1.0;1.0;0.0;1.0;57481980516.0;57481980516.0;57481980516.0;1.0;1.0;1.0;1.7396756183820978e-11;1.7396756183820978e-11;1.7396756183820978e-11;-3.203426503814917e-16;4.170941882095815e-06;0.0;0.0;1000000.0;0.0;0.0;0.0
7;"v3.0.1";"1.25.2";"2.3.1";"1.6.0";"3.10.12";"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}";"{'Original': {}}";"5fde1cce603e6566d20da811c9c8bcccb044d4ae";"2D";"(1.0, 1.0)";"(1024, 1024)";0.0;0.0;0.0;"8b9898debc755e029ce65a2174676f07a350e121";"(1.0, 1.0)";"(1024, 1024)";"(358, 0, 446, 903)";301889;1;"(594.7864711864295, 451.5038341907125)";"(594.7864711864295, 451.5038341907125)";0.0;0.0;0.0;-3.203426503814917e-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;-3.203426503814917e-16;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;-3.203426503814917e-16;1;1.0;2.0;-3.203426503814917e-16;0.0;0.14075821240001266;293281.8500674089;0.9714890243348014;0.13121075467291549;301889.0;0.0;1.0;80.42940617246737;80.42940617246737;80.42940617246737;1.0;0.012633501189600688;0.012633501189600688;0.012633501189600688;1474.5;1.0;0.0;1.0;104597.8697736871;104597.8697736871;104597.8697736871;1.0;6.43668405272421;61.21868978075712;0.04472859223007766;0.004884245533954533;56163.056892547924;0.19934834135568893;0.19934834135568893;0.19934834135568893;1.0;1.0;0.0;1.0;91136968321.0;91136968321.0;91136968321.0;1.0;1.0;1.0;1.0972495776662538e-11;1.0972495776662538e-11;1.0972495776662538e-11;-3.203426503814917e-16;3.3124757775208767e-06;0.0;0.0;1000000.0;0.0;0.0;0.0
8;"v3.0.1";"1.25.2";"2.3.1";"1.6.0";"3.10.12";"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}";"{'Original': {}}";"5fde1cce603e6566d20da811c9c8bcccb044d4ae";"2D";"(1.0, 1.0)";"(1024, 1024)";0.0;0.0;0.0;"f178f1d37d52600836e74a55cc97726e57fbcc88";"(1.0, 1.0)";"(1024, 1024)";"(187, 0, 582, 987)";298892;1;"(594.5442969366861, 493.7175702260348)";"(594.5442969366861, 493.7175702260348)";0.0;0.0;0.0;-3.203426503814917e-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;-3.203426503814917e-16;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;-3.203426503814917e-16;1;1.0;2.0;-3.203426503814917e-16;0.0;0.14569379328250998;290117.3452350682;0.9706427245796749;0.16238389713276863;298892.0;0.0;1.0;80.3763499859481;80.3763499859481;80.3763499859481;1.0;0.01271811691739988;0.01271811691739988;0.01271811691739988;1635.5;1.0;0.0;1.0;89509.06159086744;89509.06159086744;89509.06159086744;1.0;6.175608442540553;149.40882380962603;0.09280173636444135;0.005471876129170403;51003.95262163619;0.29798017575033475;0.29798017575033475;0.29798017575033475;1.0;1.0;0.0;1.0;89336427664.0;89336427664.0;89336427664.0;1.0;1.0;1.0;1.1193642125036202e-11;1.1193642125036202e-11;1.1193642125036202e-11;-3.203426503814917e-16;3.345690082036321e-06;0.0;0.0;1000000.0;0.0;0.0;0.0
9;"v3.0.1";"1.25.2";"2.3.1";"1.6.0";"3.10.12";"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}";"{'Original': {}}";"5fde1cce603e6566d20da811c9c8bcccb044d4ae";"2D";"(1.0, 1.0)";"(1024, 1024)";0.0;0.0;0.0;"534cc96ff723a337c7301afcd26fbc0a7d5b7ddd";"(1.0, 1.0)";"(1024, 1024)";"(187, 0, 575, 974)";423192;1;"(426.6240122686629, 532.463952532184)";"(426.6240122686629, 532.463952532184)";0.0;0.0;0.0;-3.203426503814917e-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;-3.203426503814917e-16;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;-3.203426503814917e-16;1;1.0;2.0;-3.203426503814917e-16;0.0;0.11261428593138612;413857.64991304185;0.9779429902102162;0.09439250702018298;423192.0;0.0;1.0;80.57181610238379;80.57181610238379;80.57181610238379;1.0;0.01254468032516338;0.01254468032516338;0.01254468032516338;1538.25;1.0;0.0;1.0;160326.09129939997;160326.09129939997;160326.09129939997;1.0;7.141284216788704;47.45756496846337;0.03235066073305992;0.003634874950377134;74078.17668099019;0.16798971885136932;0.16798971885136932;0.16798971885136932;1.0;1.0;0.0;1.0;179091468864.0;179091468864.0;179091468864.0;1.0;1.0;1.0;5.583738892439307e-12;5.583738892439307e-12;5.583738892439307e-12;-3.203426503814917e-16;2.3629936293691752e-06;0.0;0.0;1000000.0;0.0;0.0;0.0
